Real NN 0 Correlation for Spin Coating - 0: MAE,Predicted NN 0 Correlation for Spin Coating - 0: MAE,Real NN 1 Correlation for Spin Coating - 0: MAE,Predicted NN 1 Correlation for Spin Coating - 0: MAE,Real NN 2 Correlation for Spin Coating - 0: MAE,Predicted NN 2 Correlation for Spin Coating - 0: MAE,Real NN 3 Correlation for Spin Coating - 0: MAE,Predicted NN 3 Correlation for Spin Coating - 0: MAE,Averages for 0:,Real NN 0 Correlation for Spin Coating - 1: MAE,Predicted NN 0 Correlation for Spin Coating - 1: MAE,Real NN 1 Correlation for Spin Coating - 1: MAE,Predicted NN 1 Correlation for Spin Coating - 1: MAE,Real NN 2 Correlation for Spin Coating - 1: MAE,Predicted NN 2 Correlation for Spin Coating - 1: MAE,Real NN 3 Correlation for Spin Coating - 1: MAE,Predicted NN 3 Correlation for Spin Coating - 1: MAE,Averages for 1:
0.6,0.697861909866333,0.6,0.5735272169113159,0.6,0.6460086703300476,0.6,0.49808469414711,0.6038706228137016,3.62,3.422715187072754,3.62,3.7290873527526855,3.62,3.341005325317383,3.62,3.3239543437957764,3.4541905522346497
0.84,0.6938316822052002,0.84,0.7885421514511108,0.84,0.6456308960914612,0.84,0.7829803228378296,0.7277462631464005,8.6,8.237661361694336,8.6,9.196751594543457,8.6,8.693679809570312,8.6,8.7492036819458,8.719324111938477
2.16,2.359783411026001,2.16,2.094087839126587,2.16,2.18898868560791,2.16,2.0161166191101074,2.1647441387176514,5.1,4.946807861328125,5.1,5.185646057128906,5.1,4.492455005645752,5.1,4.7916789054870605,4.854146957397461
4.01,4.382122039794922,4.01,4.497117042541504,4.01,4.289048671722412,4.01,4.165436744689941,4.333431124687195,0.56,0.9126952886581421,0.56,0.8290921449661255,0.56,1.0211056470870972,0.56,0.9128352403640747,0.9189320802688599
0.67,0.6532714366912842,0.67,0.7046045064926147,0.67,0.6862258315086365,0.67,0.6354373693466187,0.6698847860097885,3.12,3.057403087615967,3.12,2.209942579269409,3.12,2.6352736949920654,3.12,2.3567585945129395,2.564844489097595
6.47,6.573995113372803,6.47,6.65555477142334,6.47,6.368045330047607,6.47,6.561776638031006,6.539842963218689,0.95,1.0668070316314697,0.95,0.9227532148361206,0.95,0.7271210551261902,0.95,0.7692626714706421,0.8714859932661057
1.88,1.9355356693267822,1.88,1.8187938928604126,1.88,1.8669946193695068,1.88,2.0004429817199707,1.905441790819168,6.47,5.423134803771973,6.47,5.916957855224609,6.47,6.175704002380371,6.47,5.021233081817627,5.634257435798645
1.63,2.0584299564361572,1.63,2.036473274230957,1.63,2.0785024166107178,1.63,1.9285987615585327,2.025501102209091,8.4,8.042006492614746,8.4,8.416182518005371,8.4,8.25391960144043,8.4,7.8989033699035645,8.152752995491028
3.64,3.1487128734588623,3.64,3.2852678298950195,3.64,2.839487314224243,3.64,3.5136635303497314,3.196782886981964,0.95,0.9618219137191772,0.95,1.063240885734558,0.95,0.946515679359436,0.95,0.9398292303085327,0.977851927280426
2.72,2.2545125484466553,2.72,2.216177463531494,2.72,2.3570363521575928,2.72,2.4545273780822754,2.3205634355545044,0.95,1.0096368789672852,0.95,1.10271155834198,0.95,0.9183804988861084,0.95,0.9168480634689331,0.9868942499160767
