Real NN 0 Correlation for Spin Coating - 0: MAE,Predicted NN 0 Correlation for Spin Coating - 0: MAE,Real NN 1 Correlation for Spin Coating - 0: MAE,Predicted NN 1 Correlation for Spin Coating - 0: MAE,Real NN 2 Correlation for Spin Coating - 0: MAE,Predicted NN 2 Correlation for Spin Coating - 0: MAE,Real NN 3 Correlation for Spin Coating - 0: MAE,Predicted NN 3 Correlation for Spin Coating - 0: MAE,,Real NN 0 Correlation for Spin Coating - 1: MAE,Predicted NN 0 Correlation for Spin Coating - 1: MAE,Real NN 1 Correlation for Spin Coating - 1: MAE,Predicted NN 1 Correlation for Spin Coating - 1: MAE,Real NN 2 Correlation for Spin Coating - 1: MAE,Predicted NN 2 Correlation for Spin Coating - 1: MAE,Real NN 3 Correlation for Spin Coating - 1: MAE,Predicted NN 3 Correlation for Spin Coating - 1: MAE,
6.48,6.337405205,6.48,6.184947968,6.48,6.215099335,6.48,6.174971581,6.228106022,0.95,0.964668274,0.95,0.782173753,0.95,1.1128335,0.95,1.029705048,0.972345144
0.8,1.19524157,0.8,0.529800773,0.8,1.226161361,0.8,0.582061172,0.883316219,7.1,5.512331963,7.1,5.928430557,7.1,6.127711296,7.1,6.981362343,6.13745904
3.64,3.938030005,3.64,3.61963439,3.64,3.822950602,3.64,4.272889614,3.913376153,0.88,0.947557449,0.88,1.012328029,0.88,1.12643075,0.88,0.908037007,0.998588309
4.85,4.543438911,4.85,4.454910755,4.85,4.378136635,4.85,4.365028381,4.435378671,3.2,4.394543171,3.2,4.177680016,3.2,4.457865715,3.2,4.480955124,4.377761007
0.67,0.695652425,0.67,0.420413345,0.67,0.361773491,0.67,0.636831999,0.528667815,3.18,2.907046318,3.18,2.730522871,3.18,3.183975935,3.18,3.068146706,2.972422958
4.36,4.333539963,4.36,4.335548878,4.36,4.460391998,4.36,4.621582985,4.437765956,4.68,4.943108559,4.68,4.768731117,4.68,5.210617065,4.68,5.025828362,4.987071276
1.42,1.491590738,1.42,1.275412917,1.42,1.594507456,1.42,1.184461832,1.386493236,0.95,1.030397892,0.95,0.868118644,0.95,1.079441786,0.95,1.007140636,0.99627474
4.75,4.967766285,4.75,4.727841854,4.75,4.94185257,4.75,5.570596218,5.052014232,4.68,5.00613451,4.68,4.670814991,4.68,5.127482414,4.68,5.455156326,5.06489706
4.88,5.21831274,4.88,5.385231018,4.88,6.232264519,4.88,5.933729172,5.692384362,5,6.422875404,5,6.521956921,5,6.260120392,5,6.515967369,6.430230022
6.64,6.448560715,6.64,5.46833086,6.64,6.284398079,6.64,6.519387722,6.180169344,0.9,1.261729002,0.9,0.890853524,0.9,1.171767831,0.9,1.401402473,1.181438208
1.42,1.447673678,1.42,1.764790773,1.42,1.721951962,1.42,1.729649067,1.66601637,7.44,8.018992424,7.44,6.801611423,7.44,6.724593163,7.44,7.512052536,7.264312387
6.64,6.434210777,6.64,6.448860168,6.64,6.310032845,6.64,6.328963757,6.380516887,2.8,3.469293833,2.8,3.994331121,2.8,3.696824312,2.8,4.08038044,3.810207427
1.88,1.824083805,1.88,2.382586241,1.88,1.689777374,1.88,2.325562716,2.055502534,6.6,7.457178116,6.6,7.469368458,6.6,7.467336655,6.6,7.585931778,7.494953752
5.73,6.420114517,5.73,6.280614376,5.73,6.573493958,5.73,6.498238564,6.443115354,6.8,6.909034729,6.8,7.146636963,6.8,7.014706612,6.8,6.852903843,6.980820537
0.75,0.488940567,0.75,0.569095492,0.75,0.652256727,0.75,0.656280398,0.591643296,1.04,1.164721251,1.04,1.321858048,1.04,0.853570759,1.04,0.955117285,1.073816836
4.1,4.032764912,4.1,3.712787151,4.1,3.948571682,4.1,4.338506699,4.008157611,3.2,3.66215539,3.2,4.089126587,3.2,3.702339172,3.2,3.615129471,3.767187655
0.7,0.719581008,0.7,0.747291565,0.7,0.648159385,0.7,0.717561185,0.708148286,0.9,1.458176017,0.9,1.117994666,0.9,0.901532769,0.9,1.40149498,1.219799608
0.84,1.020008802,0.84,0.817427039,0.84,0.978107452,0.84,0.937222183,0.938191369,0.95,1.067447543,0.95,1.093073726,0.95,0.941910088,0.95,0.924632192,1.006765887
0.86,1.176123261,0.86,1.427921176,0.86,0.55488658,0.86,1.398801565,1.139433146,4.35,4.188042164,4.35,4.448013783,4.35,4.390505791,4.35,4.378455639,4.351254344
1.42,0.98969233,1.42,1.515866399,1.42,1.285479307,1.42,1.115664482,1.22667563,9.7,9.036251068,9.7,9.131756783,9.7,9.397501945,9.7,9.583613396,9.287280798
1.05,1.106601,1.05,0.888602138,1.05,1.092456341,1.05,0.937447011,1.006276623,0.95,0.996490002,0.95,0.995333076,0.95,1.086535931,0.95,1.038280964,1.029159993
0.64,0.263259739,0.64,0.610206962,0.64,0.584770441,0.64,0.652353644,0.527647697,0.95,0.910062432,0.95,0.917373538,0.95,0.953964233,0.95,1.014651537,0.949012935
0.73,1.939496994,0.73,2.043059826,0.73,1.613230228,0.73,1.703490019,1.824819267,8.4,8.551083565,8.4,8.833104134,8.4,8.435364723,8.4,8.578712463,8.599566221
0.6,0.203998774,0.6,0.517591953,0.6,0.79963243,0.6,0.630019903,0.537810765,7.94,5.489226341,7.94,5.428082466,7.94,5.688113213,7.94,5.91503334,5.63011384
0.87,0.950620413,0.87,0.932416797,0.87,0.898187399,0.87,0.835497677,0.904180572,0.56,1.058251977,0.56,1.200098157,0.56,0.954105556,0.56,1.005791426,1.054561779
0.81,0.951485634,0.81,0.876695514,0.81,0.922836065,0.81,0.866030455,0.904261917,0.76,0.658151388,0.76,0.457255453,0.76,0.711091042,0.76,0.736090362,0.640647061
4.43,4.382499695,4.43,4.45566082,4.43,4.478638649,4.43,4.47796011,4.448689819,7.44,7.587368011,7.44,7.627082825,7.44,7.791818619,7.44,7.910405636,7.729168773
6.06,6.195448875,6.06,6.798395634,6.06,7.116808891,6.06,7.142320156,6.813243389,3.12,2.994451761,3.12,2.83051753,3.12,3.040877104,3.12,3.446076632,3.077980757
3.6,3.678874254,3.6,3.297517538,3.6,3.518012285,3.6,3.744034767,3.559609711,3.12,2.86352849,3.12,2.926713228,3.12,2.865458965,3.12,2.948455095,2.901038945
7.62,6.74495554,7.62,6.960042953,7.62,6.478107452,7.62,6.881371498,6.766119361,2.93,2.644488573,2.93,2.861627102,2.93,3.096208334,2.93,3.277449608,2.969943404
4.43,4.490240097,4.43,4.437356949,4.43,4.463673592,4.43,4.564198971,4.488867402,0.93,1.141900063,0.93,0.295581847,0.93,0.28679055,0.93,0.630562663,0.588708781
5.73,6.508663177,5.73,6.76255703,5.73,6.34076786,5.73,6.289674759,6.475415707,0.95,0.958580136,0.95,0.867970347,0.95,0.940272093,0.95,1.017052889,0.945968866
5.73,6.692633629,5.73,7.061684608,5.73,6.23561573,5.73,6.420031071,6.60249126,0.76,0.737598777,0.76,0.495543808,0.76,0.694999337,0.76,0.768361568,0.674125873
2.79,2.852021694,2.79,2.749812603,2.79,3.028104544,2.79,2.816548347,2.861621797,9.7,9.284557343,9.7,9.557373047,9.7,9.012461662,9.7,9.250839233,9.276307821
9.45,6.016014576,9.45,6.306275845,9.45,6.720861435,9.45,6.866153717,6.477326393,0.95,0.930948734,0.95,0.810962081,0.95,0.992928028,0.95,1.010320544,0.936289847
0.75,0.737466812,0.75,0.603292823,0.75,0.930892229,0.75,0.766037464,0.759422332,0.76,0.780885816,0.76,0.660256267,0.76,0.825801849,0.76,0.813715935,0.770164967
6.48,5.986120224,6.48,5.663507462,6.48,6.35266304,6.48,6.163187504,6.041369558,0.95,0.95881933,0.95,1.028504252,0.95,0.859987915,0.95,0.906030893,0.938335598
6.06,6.600840569,6.06,6.619573116,6.06,6.988568306,6.06,6.439155579,6.662034393,5.27,5.791778564,5.27,5.473598957,5.27,6.083150864,5.27,6.038798332,5.846831679
1.88,1.75944066,1.88,1.739363551,1.88,1.920582533,1.88,1.748926878,1.792078406,8.02,8.160375595,8.02,7.98650074,8.02,8.325686455,8.02,8.56435585,8.25922966
0.85,0.609744549,0.85,0.636913419,0.85,0.830532968,0.85,0.846176863,0.73084195,0.95,1.071455479,0.95,0.663897395,0.95,0.884696722,0.95,0.919425786,0.884868846
9.45,9.177732468,9.45,9.282296181,9.45,9.237922668,9.45,8.976774216,9.168681383,4.7,5.098489285,4.7,5.224509239,4.7,4.941663742,4.7,4.975272179,5.059983611
3.75,3.891104698,3.75,3.790169954,3.75,3.927618265,3.75,4.019971371,3.907216072,5.98,6.132884979,5.98,6.077391148,5.98,6.245326042,5.98,6.49756813,6.238292575
0.6,0.615363836,0.6,0.443443626,0.6,0.770927906,0.6,0.438795447,0.567132704,4.7,4.705299377,4.7,4.885623932,4.7,5.081144333,4.7,4.680587292,4.838163734
0.94,0.834907413,0.94,1.085544467,0.94,0.920560598,0.94,0.775057256,0.904017434,0.95,0.935630322,0.95,0.713329554,0.95,0.955339909,0.95,0.894687653,0.87474686
4.4,4.220743656,4.4,4.277247429,4.4,4.466190338,4.4,4.121145248,4.271331668,0.95,1.024202704,0.95,1.059674144,0.95,0.95647347,0.95,0.922505438,0.990713939
0.86,0.930930853,0.86,0.468085378,0.86,0.953073621,0.86,0.617673457,0.742440827,0.9,1.458176017,0.9,1.117994666,0.9,0.901532769,0.9,1.40149498,1.219799608
6.06,6.451969147,6.06,6.657987595,6.06,6.906327248,6.06,6.906890869,6.730793715,0.95,0.977236152,0.95,0.903992832,0.95,0.965927601,0.95,0.921595097,0.942187921
2.79,2.949711084,2.79,2.660473108,2.79,2.972385883,2.79,2.846840143,2.857352555,3.12,2.535660028,3.12,2.381672859,3.12,2.818274021,3.12,2.631442785,2.591762423
