Epochs,Lowest MAE,Highest R,Smoothed Epochs,Lowest MAE Smoothed,Highest R Smoothed,"R: 5, 5","R: 6, 5","R: 7, 5","R: 8, 5","R: 9, 5","R: 10, 5","R: 11, 5","R: 5, 6","R: 6, 6","R: 7, 6","R: 8, 6","R: 9, 6","R: 10, 6","R: 5, 7","R: 6, 7","R: 7, 7","R: 8, 7","R: 9, 7","R: 5, 8","R: 6, 8","R: 7, 8","R: 8, 8","R: 5, 9","R: 6, 9","R: 7, 9","R: 5, 10","R: 6, 10","R: 5, 11","MAE: 5, 5","MAE: 6, 5","MAE: 7, 5","MAE: 8, 5","MAE: 9, 5","MAE: 10, 5","MAE: 11, 5","MAE: 5, 6","MAE: 6, 6","MAE: 7, 6","MAE: 8, 6","MAE: 9, 6","MAE: 10, 6","MAE: 5, 7","MAE: 6, 7","MAE: 7, 7","MAE: 8, 7","MAE: 9, 7","MAE: 5, 8","MAE: 6, 8","MAE: 7, 8","MAE: 8, 8","MAE: 5, 9","MAE: 6, 9","MAE: 7, 9","MAE: 5, 10","MAE: 6, 10","MAE: 5, 11"
91.0,0.6031249016523361,0.6451505124568939,91.0,0.6088667889748894,0.6479232140243902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92.0,0.5953977629542351,0.6344673186540604,92.0,0.6048260811686932,0.6438864454132913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.0,0.6023392155766487,0.6341235786676407,93.0,0.6040800214910799,0.6409575853895961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.0,0.5939600393176079,0.6380476802587509,94.0,0.6010440268390382,0.6400846138503425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.0,0.594956710934639,0.6338590681552887,95.0,0.5992178320677185,0.6382169501418264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.0,0.5945425108075142,0.6323641687631607,96.0,0.5978152356896572,0.6364611157282267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.0,0.5915016233921051,0.6277235597372055,97.0,0.5959211520003915,0.6338398489309204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.0,0.5958497226238251,0.6295974999666214,98.0,0.5958997231874217,0.6325671442416307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.0,0.5854670628905296,0.6278609186410904,99.0,0.592769925098354,0.6311552765614686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,0.5800287798047066,0.6217415779829025,100.0,0.5889475815102598,0.6283311669878988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.0,0.5811029896140099,0.6179791986942291,101.0,0.5865942039413848,0.6252255764997978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.0,0.5757486671209335,0.6295196413993835,102.0,0.5833405428952494,0.6265137959696736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.0,0.578814759850502,0.6257157623767853,103.0,0.5819828079818252,0.6262743858918071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.0,0.5795802399516106,0.6216979622840881,104.0,0.5812620375727608,0.6249014588094913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.0,0.5699809119105339,0.6153128147125244,105.0,0.5778776998740928,0.6220248655804013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106.0,0.5674121230840683,0.6170569211244583,106.0,0.5747380268370854,0.6205344822436184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.0,0.5643813088536263,0.6103401929140091,107.0,0.5716310114420476,0.6174761954447356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108.0,0.5639637261629105,0.610567033290863,108.0,0.5693308258583065,0.6154034467985738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109.0,0.564521037042141,0.605152890086174,109.0,0.5678878892134569,0.6123282797848539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.0,0.5622704401612282,0.6110650151968002,110.0,0.5662026544977883,0.6119493004084379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.0,0.5581004321575165,0.6069289296865463,111.0,0.5637719877957068,0.6104431891918705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112.0,0.5571502819657326,0.6030473858118057,112.0,0.5617854760467146,0.608224448177851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.0,0.5547584816813469,0.6059568822383881,113.0,0.5596773777371042,0.6075441783960122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.0,0.5560526251792908,0.6018204540014267,114.0,0.5585899519697602,0.6058270610776365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.0,0.5558543503284454,0.5958094149827957,115.0,0.5577692714773658,0.6028217672491842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.0,0.5578888207674026,0.5973933041095734,116.0,0.5578051362643769,0.601193228307301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.0,0.548913799226284,0.5901746302843094,117.0,0.5551377351529491,0.5978876489004036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118.0,0.5540448799729347,0.5940597206354141,118.0,0.5548098785989448,0.5967392704209067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.0,0.5519372597336769,0.5922717452049255,119.0,0.5539480929393644,0.5953990128561123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.0,0.5573929399251938,0.5977631509304047,120.0,0.5549815470351132,0.5961082542784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.0,0.5512506142258644,0.5913973301649094,121.0,0.5538622671923386,0.5946949770443528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.0,0.5466630756855011,0.5843499302864075,122.0,0.5517025097402873,0.5915914630169692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123.0,0.5427451357245445,0.5834905952215195,123.0,0.5490152975355644,0.5891612026783343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124.0,0.5426988005638123,0.5852054953575134,124.0,0.5471203484440388,0.587974490482088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
