Epochs,Lowest MAE,Highest R,Smoothed Epochs,Lowest MAE Smoothed,Highest R Smoothed,"R: 5, 5","MAE: 5, 5"
37.0,1.3052159547805786,1.3052159547805786,37.0,1.3603420961065975,1.3603420961065975,,
38.0,1.2815279960632324,1.2815279960632324,38.0,1.336697866093588,1.336697866093588,,
39.0,1.259832352399826,1.259832352399826,39.0,1.3136382119854593,1.3136382119854593,,
40.0,1.245530754327774,1.245530754327774,40.0,1.2932059746881537,1.2932059746881537,,
41.0,1.2231144309043884,1.2231144309043884,41.0,1.2721785115530242,1.2721785115530242,,
42.0,1.2071212828159332,1.2071212828159332,42.0,1.252661342931897,1.252661342931897,,
43.0,1.190759927034378,1.190759927034378,43.0,1.2340909181626412,1.2340909181626412,,
44.0,1.1721564829349518,1.1721564829349518,44.0,1.2155105875943344,1.2155105875943344,,
45.0,1.1581790298223495,1.1581790298223495,45.0,1.1983111202627388,1.1983111202627388,,
46.0,1.1486117243766785,1.1486117243766785,46.0,1.1834013014969207,1.1834013014969207,,
47.0,1.1414438337087631,1.1414438337087631,47.0,1.1708140611604734,1.1708140611604734,,
48.0,1.1202287822961807,1.1202287822961807,48.0,1.1556384775011856,1.1556384775011856,,
49.0,1.1055078357458115,1.1055078357458115,49.0,1.1405992849745734,1.1405992849745734,,
50.0,1.0944821238517761,1.0944821238517761,50.0,1.1267641366377341,1.1267641366377341,,
51.0,1.0852939188480377,1.0852939188480377,51.0,1.1143230713008252,1.1143230713008252,,
52.0,1.073191836476326,1.073191836476326,52.0,1.1019837008534754,1.1019837008534754,,
53.0,1.0606704652309418,1.0606704652309418,53.0,1.0895897301667152,1.0895897301667152,,
54.0,1.0510072857141495,1.0510072857141495,54.0,1.0780149968309456,1.0780149968309456,,
55.0,1.0466278195381165,1.0466278195381165,55.0,1.0685988436430969,1.0685988436430969,,
56.0,1.0270645171403885,1.0270645171403885,56.0,1.0561385456922843,1.0561385456922843,,
57.0,1.0157734900712967,1.0157734900712967,57.0,1.044029029005988,1.044029029005988,,
58.0,1.0112666934728622,1.0112666934728622,58.0,1.0342003283460501,1.0342003283460501,,
59.0,1.0028169602155685,1.0028169602155685,59.0,1.0247853179069057,1.0247853179069057,,
60.0,0.9937251061201096,0.9937251061201096,60.0,1.015467254370867,1.015467254370867,,
61.0,0.9828263074159622,0.9828263074159622,61.0,1.0056749702843955,1.0056749702843955,,
62.0,0.9787274897098541,0.9787274897098541,62.0,0.9975907261120331,0.9975907261120331,,
63.0,0.9683817476034164,0.9683817476034164,63.0,0.9888280325594482,0.9888280325594482,,
64.0,0.965868666768074,0.965868666768074,64.0,0.981940222822036,0.981940222822036,,
65.0,0.9518023580312729,0.9518023580312729,65.0,0.972898863384807,0.972898863384807,,
66.0,0.9580041468143463,0.9580041468143463,66.0,0.9684304484136688,0.9684304484136688,,
67.0,0.9455045908689499,0.9455045908689499,67.0,0.9615526911502531,0.9615526911502531,,
68.0,0.9350878298282623,0.9350878298282623,68.0,0.9536132327536558,0.9536132327536558,,
69.0,0.9297744035720825,0.9297744035720825,69.0,0.9464615839991839,0.9464615839991839,,
70.0,0.9211189150810242,0.9211189150810242,70.0,0.938858783323736,0.938858783323736,,
71.0,0.9187428057193756,0.9187428057193756,71.0,0.9328239900424279,0.9328239900424279,,
72.0,0.9114039242267609,0.9114039242267609,72.0,0.9263979702977277,0.9263979702977277,,
73.0,0.9125421196222305,0.9125421196222305,73.0,0.9222412150950785,0.9222412150950785,,
74.0,0.9047581255435944,0.9047581255435944,74.0,0.9169962882296332,0.9169962882296332,,
75.0,0.8994904905557632,0.8994904905557632,75.0,0.9117445489274723,0.9117445489274723,,
76.0,0.8944222778081894,0.8944222778081894,76.0,0.9065478675916874,0.9065478675916874,,
77.0,0.8874607682228088,0.8874607682228088,77.0,0.9008217377810238,0.9008217377810238,,
78.0,0.8825957626104355,0.8825957626104355,78.0,0.8953539452298473,0.8953539452298473,,
79.0,0.885628879070282,0.885628879070282,79.0,0.8924364253819776,0.8924364253819776,,
80.0,0.8740807771682739,0.8740807771682739,80.0,0.8869297309178665,0.8869297309178665,,
81.0,0.8751238137483597,0.8751238137483597,81.0,0.8833879557670146,0.8833879557670146,,
82.0,0.869140163064003,0.869140163064003,82.0,0.8791136179561111,0.8791136179561111,,
83.0,0.8685527145862579,0.8685527145862579,83.0,0.875945346945155,0.875945346945155,,
