Time,Current,Spin Coating,Increasing PPM,Temperature,Repeat Sensor Use,Concentration
6,-0.516,1,1,24.9,1,0.95
6,-1.62,1,1,30.1,1,0.95
6,-0.422,1,1,29.9,1,0.95
6,-0.409,1,1,29.8,1,0.95
6,-0.947,1,1,35.6,1,0.95
6,-0.416,1,1,35.2,1,0.95
6,-0.303,1,1,34.8,1,0.95
6,-0.897,1,1,40.8,1,0.95
6,-0.316,1,1,39.9,1,0.95
6,-0.359,1,1,40.5,1,0.95
6,-0.409,1,1,46.3,1,0.95
6,-0.216,1,1,45.3,1,0.95
6,-0.00937,1,1,44.9,1,0.95
6,-0.422,1,1,9.9,1,0.95
6,-0.316,1,1,10.2,1,0.95
6,-0.309,1,1,15.2,1,0.95
6,-0.209,1,1,15,1,0.95
6,-0.409,1,1,20,1,0.95
6,-0.216,1,1,20,1,0.95
6,-0.422,1,1,24.8,1,0.95
6,-0.222,1,1,24.8,1,0.95
6,-0.497,1,1,30,1,0.95
6,-0.222,1,1,29.5,1,0.95
6,-0.616,1,1,35,1,0.95
6,-0.222,1,1,34.5,1,0.95
6,-0.428,1,1,40,1,0.95
6,-0.266,1,1,40.2,1,0.95
6,-0.328,1,1,45.2,1,0.95
6,-0.322,1,1,45,1,0.95
6,-14.8,1,0,22,1,6.6
6,-11.8,1,0,22,1,5
6,-5.77,1,0,22,1,3.2
6,-2.45,1,0,22,1,1.3
6,-2.11,0,1,22,1,4.31
6,-1.93,0,1,22,1,4.32
6,-1.63,0,1,22,1,4.36
6,-1.82,0,1,22,1,4.38
6,-2.33,0,1,22,1,4.39
6,-1.51,0,1,22,1,4.4
6,-1.83,0,1,22,1,4.42
6,-1.74,0,1,22,1,4.43
6,-1.72,0,1,22,1,4.5
6,-1.75,0,1,22,1,4.51
6,-1.71,0,1,22,1,4.52
6,-0.741,1,1,22,1,1.04
6,-3.45,1,1,22,1,3.12
6,-4.91,1,1,22,1,5.27
6,-8.29,1,1,22,1,7.1
6,-6.91,1,0,22,1,5.1
6,-3.37,1,0,22,1,3.62
6,-0.503,1,0,22,1,0.82
6,-6.6,1,0,22,1,7.94
6,-1.1,1,1,22,2,0.76
6,-1.38,1,1,22,2,1.1
6,-3.9,1,1,22,2,3.2
6,-4.2,1,1,22,2,5.9
6,-9.12,1,1,22,2,7.39
6,-8.15,1,1,22,2,7.89
6,-5.87,1,0,22,2,5.98
