"Real for Spin Coating,0; ,None - All","Averages for Spin Coating,0; ,None","Real for Spin Coating,1; ,None - All","Averages for Spin Coating,1; ,None"
7.04,6.577124238014221,0.95,0.9115169942378998
6.08,5.958672642707825,0.95,0.9515423029661179
6.47,6.246057033538818,3.62,3.552677094936371
4.67,4.522070288658142,0.95,0.9185843914747238
1.38,0.968188926577568,2.12,2.166093945503235
0.84,0.8128714710474014,7.44,7.963162779808044
2.28,1.9669296145439148,0.95,0.9459315687417984
3.04,3.0191650986671448,7.94,7.869482517242432
0.78,0.8206615447998047,0.95,0.9169149994850159
2.62,1.5707989037036896,0.95,0.9077882170677185
4.88,4.451114296913147,0.95,0.9443735182285309
5.59,6.539686799049377,0.95,0.9225283563137054
6.06,6.043639302253723,0.95,0.9104638993740082
0.78,0.8182076215744019,0.95,0.9233617782592773
4.54,4.4446927309036255,0.95,0.9065691828727722
0.78,0.8075744211673737,5.98,5.966061234474182
4.39,4.531374454498291,0.95,0.9340610802173615
3.6,3.5044039487838745,0.95,0.9443511366844177
7.94,7.913557648658752,7.89,7.7038795948028564
0.86,1.4304360747337341,7.1,7.036491751670837
6.55,6.156593441963196,0.76,0.78415147960186
3.67,4.053417503833771,5.0,4.957327246665955
4.5,4.514907717704773,0.95,0.9622496664524078
0.68,0.6493694931268692,0.95,0.930203303694725
0.56,0.6668657958507538,0.95,0.9144161343574524
1.38,0.9947062879800797,4.35,4.317473292350769
3.67,4.019831538200378,0.95,0.9061514437198639
3.6,3.495410144329071,6.26,6.830485820770264
0.93,0.8041697293519974,0.95,0.9294954687356949
0.83,0.9299774467945099,0.95,0.9387401789426804
0.94,0.8070663660764694,0.95,0.9214578568935394
4.39,4.498764634132385,0.95,0.888468474149704
1.93,1.791663408279419,0.95,0.9462053775787354
4.1,4.0869176387786865,0.95,0.9355541169643402
3.75,3.8051623702049255,0.95,0.9378827214241028
0.86,0.7919106483459473,7.44,7.916927337646484
4.01,4.346107125282288,0.95,0.9094222635030746
6.47,7.206984162330627,0.95,0.9436608403921127
8.01,8.112337827682495,7.89,7.7057636976242065
0.82,0.7537931650876999,1.04,0.9805407822132111
5.73,5.838414788246155,0.95,0.9372645020484924
0.73,0.774034708738327,6.26,6.832229018211365
0.84,0.8101280629634857,7.44,7.955628037452698
1.42,1.138740211725235,1.1,1.0153048932552338
0.77,0.7038952857255936,0.95,0.9206649512052536
0.94,0.8072371929883957,2.62,2.601881444454193
4.36,4.484323501586914,3.2,3.1907418966293335
2.72,2.3968963027000427,0.95,0.9202967435121536
2.64,2.6494624614715576,0.88,0.8826633989810944
1.05,0.935473844408989,0.95,0.9141575545072556
1.93,1.7923471927642822,2.62,2.5690826177597046
4.38,4.519184708595276,0.95,0.944584846496582
