"Real for Increasing PPM,0; ,None - All","Averages for Increasing PPM,0; ,None","Real for Increasing PPM,1; ,None - All","Averages for Increasing PPM,1; ,None"
7.04,6.567183494567871,8.01,8.112337827682495
2.62,2.5708773136138916,0.95,0.9459315687417984
0.86,0.8448457717895508,0.95,0.9169149994850159
0.82,0.8063847571611404,0.95,0.9077882170677185
7.94,7.892426490783691,0.95,0.9443735182285309
0.85,0.8295296728610992,5.73,5.838414788246155
0.9,0.7528343349695206,0.73,0.774034708738327
0.97,0.9787211567163467,0.84,0.8101280629634857
4.1,3.9207329154014587,1.42,1.138740211725235
2.71,2.736732065677643,0.77,0.7038952857255936
5.1,5.074727296829224,0.94,0.8072371929883957
6.48,6.354455351829529,4.36,4.484323501586914
3.1,2.9915775060653687,2.72,2.3968963027000427
6.28,6.400125622749329,0.95,0.9225283563137054
0.6,0.6464862674474716,0.95,0.9104638993740082
0.9,0.760494738817215,0.95,0.9233617782592773
6.28,6.487021446228027,1.05,0.935473844408989
3.1,2.997515559196472,0.95,0.9065691828727722
1.5,1.4767840802669525,4.38,4.519184708595276
0.7,0.7957233041524887,3.75,3.883413016796112
3.64,3.6601667404174805,1.63,1.780466765165329
4.29,3.9722447991371155,0.81,0.7632344961166382
5.1,5.082719683647156,2.79,2.9640910029411316
0.6,0.6596159785985947,0.95,0.9340610802173615
6.48,6.339206099510193,0.95,0.9443511366844177
4.54,4.439489841461182,0.87,0.8222604990005493
0.86,0.8439826518297195,7.89,7.7038795948028564
6.64,6.628589749336243,7.12,7.164941906929016
4.7,4.609753131866455,7.1,7.036491751670837
3.2,3.163927435874939,7.62,7.047314882278442
4.7,4.60985267162323,4.5,4.508788585662842
6.64,6.635732889175415,7.53,6.988880157470703
7.04,6.532419919967651,0.76,0.78415147960186
0.85,0.8305189460515976,0.95,0.9622496664524078
4.1,3.9335307478904724,0.94,0.7902424782514572
0.68,0.6551295816898346,0.95,0.930203303694725
6.6,6.606943249702454,4.33,4.318012952804565
2.62,2.5727814435958862,0.95,0.9144161343574524
0.82,0.809673547744751,4.43,4.509892225265503
6.28,6.36395788192749,1.39,1.7154712677001953
3.62,3.5464069843292236,4.35,4.317473292350769
1.3,1.2932896614074707,0.95,0.9061514437198639
4.29,3.9818143248558044,6.26,6.830485820770264
2.62,2.5644960403442383,0.87,0.8207536190748215
6.48,6.373426079750061,0.95,0.9294954687356949
3.04,3.040164589881897,0.95,0.9387401789426804
1.5,1.4647733867168427,0.95,0.9214578568935394
0.97,0.9788167625665665,0.95,0.888468474149704
2.62,2.570254862308502,0.95,0.9462053775787354
2.48,2.7019280791282654,3.67,4.139991879463196
6.48,6.367995023727417,7.4,6.793826341629028
4.75,4.225698828697205,4.31,4.526907563209534
4.01,4.231289327144623,0.95,0.9355541169643402
