Epochs,Lowest MAE,Smoothed Epochs,Lowest MAE Smoothed,"R: 25, 10","MAE: 25, 10"
114,0.36362747848033905,114,0.37326082335555877,,
115,0.36863184720277786,115,0.3718721305097245,,
116,0.3779802918434143,116,0.37370457890983144,,
117,0.37299688160419464,117,0.3734922697181404,,
118,0.37089043110609055,118,0.37271171813452547,,
119,0.36393599212169647,119,0.37007900033067676,,
120,0.364584781229496,120,0.36843073460032255,,
121,0.3582529351115227,121,0.3653773947536826,,
122,0.37746717035770416,122,0.3690043274348891,,
123,0.3856946900486946,123,0.3740114362190307,,
124,0.37990256398916245,124,0.37577877455007025,,
125,0.35581929981708527,125,0.3697909321301748,,
126,0.3653303384780884,126,0.3684527540345489,,
127,0.3749242350459099,127,0.3703941983379572,,
128,0.3791821599006653,128,0.3730305868067696,,
129,0.36968082934617996,129,0.37202565956859274,,
130,0.36789582669734955,130,0.3707867097072198,,
131,0.36643263697624207,131,0.3694804878879265,,
132,0.37343844026327133,132,0.37066787360052994,,
133,0.36380332708358765,133,0.3686085096454473,,
134,0.3621266856789589,134,0.36666396245550076,,
135,0.3753053620457649,135,0.36925638233257996,,
136,0.3615178093314171,136,0.3669348104322311,,
137,0.37328454852104187,137,0.3688397318588743,,
138,0.3580259159207344,138,0.36559558707743234,,
139,0.3682791441679001,139,0.36640065420457263,,
140,0.3523729294538498,140,0.3621923367793558,,
141,0.36870386451482773,141,0.3641457950999974,,
142,0.3764801621437073,142,0.36784610521311034,,
143,0.3697802945971489,143,0.3684263620283219,,
144,0.3579765483736992,144,0.3652914179319351,,
145,0.3640477880835533,145,0.36491832897742055,,
146,0.36800723522901535,146,0.36584500085289895,,
147,0.3646475300192833,147,0.36548575960281426,,
148,0.3651617765426636,148,0.36538856468476905,,
149,0.3542478308081627,149,0.36204634452178713,,
150,0.35482093691825867,150,0.3598787222407286,,
151,0.3573620021343231,151,0.35912370620880696,,
152,0.36025430262088776,152,0.3594628851324312,,
153,0.37105903029441833,153,0.3629417286810273,,
154,0.3566885367035866,154,0.3610657710877951,,
155,0.3610699623823166,155,0.3610670284761515,,
156,0.3600953593850136,156,0.36077552774881017,,
157,0.35872403532266617,157,0.36016008002096694,,
158,0.375915065407753,158,0.3648865756370028,,
