SC: R,SC: MAE,SC Test: R,SC Test: MAE,Time,Time:  R,Time:  MAE,Time: Test R,Time: Test MAE,Time SC: 0;: R,Time SC: 1: R,Time SC: 0 : MAE,Time SC: 1 : MAE,Time SC: 0; Test R,Time SC: 1; Test R,Time SC: 0; Test MAE,Time SC: 1; Test MAE,Time Increasing: 0 : R,Time Increasing: 1 : R,Time Increasing: 0 : MAE,Time Increasing: 1 : MAE,Time Increasing: 0; Test R,Time Increasing: 1; Test R,Time Increasing: 0; Test MAE,Time Increasing: 1; Test MAE,Day 1 : R,Day 2 : R,Day 3 : R,Day 1 : MAE,Day 2 : MAE,Day 3 : MAE
,,,,31,0.9893305599689484,0.2475951835513115,0.9757890999317169,0.3337874785065651,0.991823360323906,0.9878883212804794,0.22423002496361732,0.27215855568647385,0.977601632475853,0.9737841039896011,0.3560759276151657,0.3102254495024681,0.9816300272941589,0.9916954040527344,0.3451286107301712,0.21651309356093407,0.9808524549007416,0.9737757444381714,0.40816211700439453,0.30712491273880005,0.9887209981679916,0.99359992146492,0.9921957403421402,0.24534428492188454,0.2630997374653816,0.27992721274495125
,,,,32,0.9893671125173569,0.24794167280197144,0.9850650876760483,0.2765040993690491,0.991735115647316,0.9880292117595673,0.22593100368976593,0.2710810899734497,0.9862931072711945,0.9850047379732132,0.3081081658601761,0.23787689208984375,0.9817947447299957,0.991657018661499,0.3404427543282509,0.21846330910921097,0.9856838881969452,0.9850562959909439,0.3414660766720772,0.2615128792822361,0.9887052625417709,0.9943715929985046,0.9924200475215912,0.24658269062638283,0.24862690269947052,0.2745606489479542
,,,,33,0.9894838929176331,0.24622288346290588,0.9748665392398834,0.3529516011476517,0.991790160536766,0.9882110059261322,0.22472107410430908,0.26882732659578323,0.9828640669584274,0.9689119905233383,0.30855607986450195,0.4016434922814369,0.9819474220275879,0.9917398542165756,0.3348960652947426,0.21796439215540886,0.9864736795425415,0.9687174409627914,0.31431571394205093,0.36663515120744705,0.9887824207544327,0.994721919298172,0.9930087029933929,0.2455541491508484,0.24030553176999092,0.26443875953555107
,,,,34,0.989555224776268,0.24402445554733276,0.9760875105857849,0.3349079117178917,0.9917501211166382,0.988378494977951,0.22420433536171913,0.26486097648739815,0.9895608276128769,0.9542242288589478,0.25807369872927666,0.44353559613227844,0.9819907546043396,0.9918141514062881,0.33392383903265,0.21537520736455917,0.9905093759298325,0.9738753288984299,0.19103284925222397,0.3708766773343086,0.9888123869895935,0.9949885755777359,0.9936185330152512,0.24405723810195923,0.23336273804306984,0.2520920969545841
,,,,35,0.9895978569984436,0.2436744086444378,0.9824403673410416,0.2923208586871624,0.9917523860931396,0.9885076880455017,0.2264280505478382,0.2618051581084728,0.9811592400074005,0.9841856211423874,0.2728029154241085,0.30812111496925354,0.9819252789020538,0.9918909966945648,0.33540818095207214,0.21444055065512657,0.9808971583843231,0.9848941564559937,0.3219555839896202,0.2831238880753517,0.988793671131134,0.9954846948385239,0.994406521320343,0.24473058432340622,0.22400759160518646,0.23864147067070007
,,,,36,0.9895420968532562,0.24455062299966812,0.9755208045244217,0.36174964904785156,0.9914973229169846,0.9886119663715363,0.22922668978571892,0.260660357773304,0.9759153574705124,0.9766892045736313,0.44812555611133575,0.2586558721959591,0.9822143167257309,0.9917373955249786,0.3344654440879822,0.21589643135666847,0.9792216867208481,0.9741901606321335,0.40768690407276154,0.3476151376962662,0.9886803030967712,0.9960150271654129,0.99486044049263,0.2463928870856762,0.21549059078097343,0.2314816564321518
,,,,37,0.9895601570606232,0.24565117433667183,0.9762907028198242,0.35546550899744034,0.991421639919281,0.9887240529060364,0.23173526674509048,0.2602807246148586,0.9876755625009537,0.9706535190343857,0.22709673643112183,0.49550414085388184,0.9823790490627289,0.9917277991771698,0.3363085985183716,0.21676035225391388,0.9853637367486954,0.971974328160286,0.36893339827656746,0.3513997346162796,0.9886483252048492,0.9963052719831467,0.9955320805311203,0.24820028990507126,0.21102680265903473,0.22299819812178612
,,,,38,0.989682137966156,0.2456587255001068,0.9641073644161224,0.39493008702993393,0.9915234744548798,0.9888715595006943,0.2317444533109665,0.26028648391366005,0.9632500410079956,0.9654133766889572,0.42368508130311966,0.3694427013397217,0.9827136546373367,0.9918151646852493,0.33890730887651443,0.21594209223985672,0.9519251734018326,0.9723923057317734,0.4200650230050087,0.38470569252967834,0.9887548983097076,0.9964656382799149,0.9960440993309021,0.2486601136624813,0.21048272401094437,0.21441061049699783
,,,,39,0.9898097068071365,0.24513301625847816,0.9824373871088028,0.32809217274188995,0.991507425904274,0.989046037197113,0.2311258651316166,0.2598584219813347,0.9795314222574234,0.9877783209085464,0.35333722084760666,0.2906598895788193,0.9830390214920044,0.9919208884239197,0.3400833234190941,0.21487409621477127,0.9809804409742355,0.9852875471115112,0.35350147634744644,0.3196224309504032,0.988834023475647,0.9966603070497513,0.9969233721494675,0.24908892437815666,0.20663756877183914,0.1975104734301567
,,,,40,0.9898302257061005,0.2464023232460022,0.9785622656345367,0.35167717188596725,0.991336390376091,0.9891730397939682,0.23292302712798119,0.2605728432536125,0.9844617694616318,0.970467209815979,0.3241952136158943,0.38259440660476685,0.9832527488470078,0.9919188171625137,0.34581634402275085,0.2147209234535694,0.9915109723806381,0.971911296248436,0.27662721648812294,0.37669385224580765,0.9888349622488022,0.9968654215335846,0.9972759038209915,0.2508806474506855,0.2045995630323887,0.19103778153657913
