Epochs,Lowest MAE,Smoothed Epochs,Lowest MAE Smoothed,"R: 25, 10","MAE: 25, 10"
159,0.36683787405490875,159,0.38107799271255277,,
160,0.3910401687026024,160,0.3840666455095677,,
161,0.3880746066570282,161,0.38526903385380584,,
162,0.3858548700809479,162,0.38544478472194843,,
163,0.3761819750070572,163,0.38266594180748104,,
164,0.3769000917673111,164,0.38093618679543007,,
165,0.399405874311924,165,0.38647709305037825,,
166,0.3892977759242058,166,0.3873232979125265,,
167,0.41276615858078003,167,0.39495615611300255,,
168,0.37924861907958984,168,0.39024389500297874,,
169,0.38492754101753235,169,0.3886489888073448,,
170,0.38401924073696136,170,0.38726006438622973,,
171,0.407386876642704,171,0.393298108063172,,
172,0.37526463717222214,172,0.38788806679588705,,
173,0.3893856331706047,173,0.38833733670830234,,
174,0.37443849444389343,174,0.38416768402897966,,
175,0.3748871311545372,175,0.38138351816664695,,
176,0.3851129487156868,176,0.3825023473313589,,
177,0.36935967206954956,177,0.3785595447528161,,
178,0.36939577758312225,178,0.37581041460190795,,
179,0.37765806168317795,179,0.37636470872628897,,
180,0.36995017528533936,180,0.37444034869400405,,
181,0.3674677759408951,181,0.3723485768680713,,
182,0.3931364193558693,182,0.3785849296144107,,
183,0.36847177147865295,183,0.3755509821736834,,
184,0.37858688086271286,184,0.37646175178039226,,
185,0.3764518052339554,185,0.3764587678164612,,
186,0.37745895981788635,186,0.37675882541688877,,
187,0.3648296147584915,187,0.37318006221936956,,
188,0.39156968146562576,188,0.3786969479932464,,
189,0.38603243976831436,189,0.38089759552576674,,
190,0.4044616371393204,190,0.3879668080098328,,
191,0.37639281898736954,191,0.3844946113030938,,
192,0.3696100264787674,192,0.38002923585579584,,
193,0.40656064450740814,193,0.38798865845127956,,
194,0.38008570671081543,194,0.3856177729291403,,
195,0.3815840482711792,195,0.384407655531752,,
196,0.3814369961619377,196,0.3835164577208077,,
197,0.3689632713794708,197,0.37915050181840665,,
198,0.36347103863954544,198,0.37444666286474826,,
199,0.38728369772434235,199,0.3782977733226265,,
200,0.3869809955358505,200,0.3809027399865937,,
201,0.3809230774641037,201,0.3809088412298467,,
202,0.38978539407253265,202,0.3835718070826525,,
203,0.3807521089911461,203,0.3827258976552006,,
204,0.371757447719574,204,0.3794353626745126,,
205,0.38276349008083344,205,0.3804338008964089,,
206,0.3836463764309883,206,0.38139757355678267,,
207,0.3705700561404228,207,0.3781493183318747,,
208,0.402114100754261,208,0.3853387530585906,,
209,0.38040726631879807,209,0.38385930703665283,,
210,0.39204007387161255,210,0.3863135370871408,,
211,0.36866649985313416,211,0.38101942591693877,,
212,0.3673894554376602,212,0.37693043477315524,,
213,0.3788440525531769,213,0.37750452010716173,,
214,0.3728579580783844,214,0.37611055149852857,,
215,0.378881499171257,215,0.3769418358003471,,
216,0.38862159848213196,216,0.38044576460488255,,
217,0.3709425777196884,217,0.3775948085393243,,
218,0.37536587566137314,218,0.37692612867593894,,
219,0.3753877729177475,219,0.3764646219484815,,
220,0.3800061196088791,220,0.3775270712466008,,
221,0.3800509199500084,221,0.37828422585762306,,
222,0.3834078833460808,222,0.37982132310416034,,
223,0.36894604563713074,223,0.3765587398640514,,
224,0.3802529573440552,224,0.3776670051080525,,
225,0.3687876909971237,225,0.3750032108747739,,
226,0.3991091623902321,226,0.3822349963294113,,
227,0.38755782693624496,227,0.38383184551146143,,
228,0.3647536337375641,228,0.37810838197929225,,
229,0.3769442215561867,229,0.3777591338523606,,
230,0.3942571133375168,230,0.3827085276979075,,
231,0.38092414289712906,231,0.382173212257674,,
232,0.40125638246536255,232,0.3878981633199805,,
233,0.3909270614385605,233,0.3888068327555545,,
234,0.36572421342134476,234,0.3818820469552916,,
235,0.3577592372894287,235,0.3746452040555327,,
236,0.4238278269767761,236,0.3893999909319057,,
237,0.3838920369744301,237,0.387747604744663,,
238,0.36841146647930145,238,0.38194676326505456,,
239,0.38111281394958496,239,0.3816965784704137,,
240,0.3747721463441849,240,0.37961924883254505,,
241,0.38497068732976913,241,0.3812246803817123,,
242,0.37789566814899445,242,0.38022597671189695,,
243,0.38826341927051544,243,0.3826372094794825,,
244,0.3883231207728386,244,0.3843429828674893,,
245,0.36778364330530167,245,0.379375180998833,,
246,0.37387897074222565,246,0.3777263179218508,,
247,0.3781072497367859,247,0.37784059746633136,,
