Epochs,Lowest MAE,Highest R,Smoothed Epochs,Lowest MAE Smoothed,Highest R Smoothed
50,0.823562428355217,0.823562428355217,50,0.8636511434636543,0.8636511434636543
51,0.8129067867994308,0.8129067867994308,51,0.8535022721308096,0.8535022721308096
52,0.8076728135347366,0.8076728135347366,52,0.8443363804115951,0.8443363804115951
53,0.7990464270114899,0.7990464270114899,53,0.8352783897315741,0.8352783897315741
54,0.7924998998641968,0.7924998998641968,54,0.8267226917580985,0.8267226917580985
55,0.7836332023143768,0.7836332023143768,55,0.8181047938693542,0.8181047938693542
56,0.7785235792398453,0.7785235792398453,56,0.8101885509434523,0.8101885509434523
57,0.7652717083692551,0.7652717083692551,57,0.8012051824286129,0.8012051824286129
58,0.755644217133522,0.755644217133522,58,0.7920929893695948,0.7920929893695948
59,0.7477448284626007,0.7477448284626007,59,0.783223357188196,0.783223357188196
60,0.7423841953277588,0.7423841953277588,60,0.7750555248161086,0.7750555248161086
61,0.7310277670621872,0.7310277670621872,61,0.7662499732653243,0.7662499732653243
62,0.7244959324598312,0.7244959324598312,62,0.7578991651042257,0.7578991651042257
63,0.7152640372514725,0.7152640372514725,63,0.7493721395336751,0.7493721395336751
64,0.7078589797019958,0.7078589797019958,64,0.7410695075673392,0.7410695075673392
65,0.7019605338573456,0.7019605338573456,65,0.7332477128253405,0.7332477128253405
66,0.6938320994377136,0.6938320994377136,66,0.7253645901478151,0.7253645901478151
67,0.6929000020027161,0.6929000020027161,67,0.7188716725187952,0.7188716725187952
68,0.6849556267261505,0.6849556267261505,68,0.7120884633602663,0.7120884633602663
69,0.6823837757110596,0.6823837757110596,69,0.706147525830425,0.706147525830425
70,0.6838772147893906,0.6838772147893906,70,0.7016934636222181,0.7016934636222181
71,0.6743410676717758,0.6743410676717758,71,0.6962229844321297,0.6962229844321297
72,0.6671851277351379,0.6671851277351379,72,0.6904154130927314,0.6904154130927314
73,0.665803924202919,0.665803924202919,73,0.6854931153147689,0.6854931153147689
74,0.6643105149269104,0.6643105149269104,74,0.6812565952371972,0.6812565952371972
75,0.6579796969890594,0.6579796969890594,75,0.6766012155875697,0.6766012155875697
76,0.6549649089574814,0.6549649089574814,76,0.672273954261552,0.672273954261552
77,0.6566595584154129,0.6566595584154129,77,0.6691510750923242,0.6691510750923242
78,0.6526709496974945,0.6526709496974945,78,0.6658550500133582,0.6658550500133582
79,0.6471378803253174,0.6471378803253174,79,0.6621116160757501,0.6621116160757501
80,0.6431427150964737,0.6431427150964737,80,0.6583178358798948,0.6583178358798948
81,0.6421535462141037,0.6421535462141037,81,0.6550849779467366,0.6550849779467366
82,0.6355075091123581,0.6355075091123581,82,0.6511694841798609,0.6511694841798609
83,0.6349106132984161,0.6349106132984161,83,0.6479177100035719,0.6479177100035719
84,0.6312407702207565,0.6312407702207565,84,0.6445823220470088,0.6445823220470088
85,0.6277727633714676,0.6277727633714676,85,0.6412204103119006,0.6412204103119006
86,0.6281252652406693,0.6281252652406693,86,0.6386013812976543,0.6386013812976543
87,0.625183567404747,0.625183567404747,87,0.6359178185190728,0.6359178185190728
88,0.6200830936431885,0.6200830936431885,88,0.6327508735438959,0.6327508735438959
89,0.6162690371274948,0.6162690371274948,89,0.6294545062606157,0.6294545062606157
90,0.6143184453248978,0.6143184453248978,90,0.6264272940734721,0.6264272940734721
91,0.6126362532377243,0.6126362532377243,91,0.6236690859063225,0.6236690859063225
92,0.6105293035507202,0.6105293035507202,92,0.6210411294352021,0.6210411294352021
93,0.609959065914154,0.609959065914154,93,0.6188247167309925,0.6188247167309925
94,0.6064519286155701,0.6064519286155701,94,0.616350159107908,0.616350159107908
95,0.5987437516450882,0.5987437516450882,95,0.6128288776153441,0.6128288776153441
96,0.598406970500946,0.598406970500946,96,0.6099444961924645,0.6099444961924645
97,0.5953768789768219,0.5953768789768219,97,0.6070309727493359,0.6070309727493359
98,0.5947849452495575,0.5947849452495575,98,0.6045817672493803,0.6045817672493803
99,0.5931123495101929,0.5931123495101929,99,0.6022878837015427,0.6022878837015427
100,0.5884732007980347,0.5884732007980347,100,0.5995249471208411,0.5995249471208411
