"Real NN 0 for Spin Coating,0; ,None - All data","Predicted NN 0 for Spin Coating,0; ,None - All data","Real NN 1 for Spin Coating,0; ,None - All data","Predicted NN 1 for Spin Coating,0; ,None - All data","Real NN 2 for Spin Coating,0; ,None - All data","Predicted NN 2 for Spin Coating,0; ,None - All data","Real NN 3 for Spin Coating,0; ,None - All data","Predicted NN 3 for Spin Coating,0; ,None - All data","Averages for Spin Coating,0; ,None","Real NN 0 for Spin Coating,1; ,None - All data","Predicted NN 0 for Spin Coating,1; ,None - All data","Real NN 1 for Spin Coating,1; ,None - All data","Predicted NN 1 for Spin Coating,1; ,None - All data","Real NN 2 for Spin Coating,1; ,None - All data","Predicted NN 2 for Spin Coating,1; ,None - All data","Real NN 3 for Spin Coating,1; ,None - All data","Predicted NN 3 for Spin Coating,1; ,None - All data","Averages for Spin Coating,1; ,None"
3.6,3.587414264678955,3.6,3.2094268798828125,3.6,3.5035102367401123,3.6,2.891519784927368,3.297967791557312,0.95,0.9755093455314636,0.95,0.9092806577682495,0.95,1.0555578470230103,0.95,1.016498327255249,0.9892115443944931
6.64,6.584718227386475,6.64,6.203892230987549,6.64,6.102790832519531,6.64,5.723064422607422,6.153616428375244,0.95,0.7264443039894104,0.95,0.9676997065544128,0.95,0.9976398348808289,0.95,1.085404634475708,0.94429711997509
6.47,6.355021953582764,6.47,6.730795860290527,6.47,6.417978286743164,6.47,6.365633964538574,6.467357516288757,3.12,3.9090018272399902,3.12,4.594514846801758,3.12,3.9855830669403076,3.12,4.942554950714111,4.357913672924042
0.93,1.0695208311080933,0.93,0.71917724609375,0.93,1.2839127779006958,0.93,1.6766217947006226,1.1873081624507904,7.94,4.698590278625488,7.94,5.693874359130859,7.94,5.495903015136719,7.94,5.159821510314941,5.262047290802002
1.49,1.42343008518219,1.49,1.7357978820800781,1.49,1.6548320055007935,1.49,1.7055318355560303,1.629897952079773,3.64,3.801191806793213,3.64,3.450810670852661,3.64,3.8818323612213135,3.64,3.4553744792938232,3.6473023295402527
2.16,2.1646347045898438,2.16,1.768697738647461,2.16,1.9194096326828003,2.16,1.86148202419281,1.9285560250282288,3.2,4.375236988067627,3.2,3.8623905181884766,3.2,3.975281000137329,3.2,4.409070014953613,4.1554946303367615
1.49,1.4548732042312622,1.49,1.9901869297027588,1.49,1.827003002166748,1.49,1.7882062196731567,1.7650673389434814,3.62,3.39278507232666,3.62,3.0700817108154297,3.62,2.934499502182007,3.62,3.631054401397705,3.2571051716804504
0.68,1.61077880859375,0.68,0.6458442807197571,0.68,1.6797772645950317,0.68,2.168813705444336,1.5263035148382187,0.95,0.9540534019470215,0.95,0.9149923920631409,0.95,0.9367260932922363,0.95,0.9854273200035095,0.947799801826477
6.47,6.086520671844482,6.47,6.599318027496338,6.47,6.311800003051758,6.47,5.354109764099121,6.087937116622925,2.62,2.7434325218200684,2.62,2.5290286540985107,2.62,2.532266855239868,2.62,2.4619812965393066,2.5666773319244385
0.73,0.965222954750061,0.73,0.8926911950111389,0.73,0.9240368604660034,0.73,1.0338656902313232,0.9539541751146317,0.95,1.0424177646636963,0.95,0.9845625758171082,0.95,0.9770115613937378,0.95,0.7177243828773499,0.930429071187973
6.15,6.066404342651367,6.15,6.030203342437744,6.15,6.1748552322387695,6.15,5.67901086807251,5.987618446350098,3.64,3.1296472549438477,3.64,2.8619225025177,3.64,2.810533046722412,3.64,3.4534575939178467,3.0638900995254517
0.87,0.7359124422073364,0.87,0.9450991749763489,0.87,1.0077488422393799,0.87,0.7881291508674622,0.8692224025726318,0.95,1.0231242179870605,0.95,0.8423307538032532,0.95,0.8941476345062256,0.95,0.8283339142799377,0.8969841301441193
