"Real NN 3 for Increasing PPM,0; ,None - All data","Averages for Increasing PPM,0; ,None","Real NN 3 for Increasing PPM,1; ,None - All data","Averages for Increasing PPM,1; ,None"
2.64,2.589659333229065,1.88,1.7651668190956116
4.29,4.381211638450623,0.95,0.9596567153930664
0.68,0.944326788187027,2.28,1.5510347187519073
5.52,5.909152388572693,0.95,0.9769998043775558
5.98,6.115855813026428,6.06,6.532515645027161
3.64,3.64929062128067,0.95,0.9265169054269791
0.97,1.1930572539567947,2.12,2.4062365293502808
2.48,2.8021470308303833,0.95,1.0035092234611511
3.04,2.87366259098053,0.95,0.9475242346525192
5.0,5.059224009513855,0.95,0.983304813504219
0.7,0.9690714329481125,0.84,0.9180821925401688
0.7,0.8432475477457047,3.2,3.3321797251701355
6.6,6.593702435493469,7.12,7.166669130325317
7.94,7.459157943725586,4.51,4.144445419311523
4.54,4.247297048568726,0.95,0.8936735540628433
0.86,1.0329646468162537,0.95,0.9882583618164062
1.5,1.797256052494049,7.12,7.256545424461365
4.1,4.1060545444488525,0.95,0.9516604989767075
4.29,4.42524516582489,0.87,0.9219925999641418
0.7,0.6209319867193699,2.16,2.049366533756256
4.29,3.807523190975189,3.2,3.9215981364250183
5.1,5.552179217338562,0.95,0.9657586365938187
2.62,2.646012008190155,7.89,8.041186928749084
3.64,3.762432098388672,5.27,5.347062349319458
5.98,6.075926303863525,0.94,0.8502192944288254
4.01,4.168322205543518,9.45,9.220988512039185
3.64,3.6975679993629456,5.59,6.547213554382324
0.7,1.0086949914693832,8.39,8.121742010116577
0.85,0.9074336886405945,0.95,0.9799503833055496
0.82,0.853572353720665,4.85,4.632447242736816
3.04,2.931312918663025,5.59,6.498665452003479
1.93,2.006483405828476,0.95,0.9747490733861923
0.6,0.7925177216529846,0.95,0.9218269884586334
0.8,1.1281762421131134,4.67,4.124787092208862
0.8,1.1797113120555878,5.73,6.137375354766846
1.3,1.4139454662799835,6.47,6.491140246391296
0.8,0.9678050577640533,7.89,5.385144114494324
0.82,0.983386442065239,0.64,0.6649612486362457
7.94,7.444337487220764,0.59,0.9127880334854126
6.64,6.336253523826599,6.55,6.155646085739136
3.1,2.583479344844818,6.06,6.233443260192871
4.7,4.411358594894409,6.61,6.5499958992004395
0.9,0.9120499044656754,0.95,1.00375097990036
4.29,4.272847950458527,8.01,8.325239896774292
0.85,0.8420617878437042,6.47,6.171666264533997
7.94,8.851009845733643,3.12,2.992227613925934
3.04,3.1180713772773743,3.12,2.973433792591095
7.94,7.438616394996643,7.62,6.356174826622009
4.29,3.9550222754478455,0.95,0.9270493537187576
0.68,0.954930454492569,0.95,1.0214084684848785
5.0,5.5055869817733765,3.37,3.2496514320373535
0.8,0.8885885179042816,0.7,0.6358396261930466
0.82,0.9562841206789017,0.95,0.9690920263528824
7.62,7.9839335680007935,0.95,0.99143086373806
3.1,2.799052119255066,2.28,1.7148956954479218
6.48,6.093292593955994,0.76,0.73065285384655
1.3,1.4557009935379028,0.95,1.0092771351337433
3.4,3.4809612035751343,6.47,6.482414245605469
3.1,2.597580671310425,0.94,0.8874469995498657
0.8,0.9906585067510605,0.95,0.9467784464359283
2.64,2.622690737247467,0.95,0.9833706915378571
0.96,0.886976346373558,1.04,0.9446362406015396
0.82,1.0058726966381073,6.55,5.094676971435547
4.1,5.699711203575134,7.44,7.860482454299927
1.3,1.4281920194625854,1.05,1.2248348593711853
0.85,0.7145638316869736,0.95,0.94970703125
3.1,2.634851038455963,6.69,7.0869691371917725
4.75,4.786400198936462,2.62,1.6759710609912872
2.64,2.7994282245635986,0.93,0.7732792943716049
0.6,0.9434012919664383,0.95,0.9295540750026703
0.68,0.9043305963277817,0.95,1.002742886543274
0.82,0.8087682276964188,5.59,6.589963793754578
4.29,4.521437644958496,4.33,3.817988336086273
5.1,5.838275074958801,0.95,0.9368724822998047
0.82,0.8230196535587311,1.88,1.8168140947818756
0.85,0.8334212601184845,2.16,1.9781490862369537
4.01,4.214872181415558,6.55,6.358248710632324
2.64,2.600158393383026,1.04,1.4825562536716461
5.52,5.573896765708923,7.39,7.697229266166687
2.62,2.651622772216797,0.64,0.6815926879644394
0.7,0.8325818181037903,0.95,0.9980978220701218
1.3,1.3893181383609772,3.75,3.7517111897468567
0.86,0.8925201445817947,0.81,0.7725142389535904
1.5,1.65500146150589,0.95,0.9350496828556061
0.97,1.1649918109178543,0.69,0.37937546521425247
