"Real NN 3 for Spin Coating,0; ,None - All data","Averages for Spin Coating,0; ,None","Real NN 3 for Spin Coating,1; ,None - All data","Averages for Spin Coating,1; ,None"
3.6,2.643240035,0.95,0.966019809
0.84,0.918082193,0.97,0.796892613
4.75,4.253744483,6.6,6.590937734
7.12,7.16666913,0.97,0.938576892
2.64,3.022567809,0.95,0.963728189
4.1,3.984154403,0.95,0.947666809
4.51,4.144445419,0.95,0.875976548
3.04,2.958423972,1.1,1.279422015
1.93,2.185344756,0.95,1.015715405
6.64,6.390552282,1.3,1.443217188
7.12,7.256545424,5.9,4.967470169
0.87,0.9219926,0.95,0.973679632
2.16,2.049366534,0.95,0.995753422
0.94,0.850219294,0.95,0.994882956
9.45,9.220988512,3.62,3.487691224
5.59,6.547213554,0.95,0.88476567
6.28,9.379606962,3.12,3.382332742
7.62,7.904669166,0.95,0.955206633
4.85,4.632447243,0.95,0.937587589
7.62,7.166756868,7.1,7.066198349
2.48,2.607272387,0.95,0.983501211
5.59,6.498665452,4.35,4.417785764
4.67,4.124787092,0.95,0.984585226
5.73,6.137375355,0.95,0.979243547
6.47,6.491140246,5.98,6.115855813
1.93,2.02362141,0.95,0.959899977
0.64,0.664961249,1.1,1.140219182
0.59,0.912788033,0.95,0.981311217
6.55,6.155646086,2.12,2.19734484
6.06,6.23344326,0.97,1.193057254
6.61,6.549995899,0.76,2.894168615
0.7,0.753822431,0.95,0.909813419
2.48,3.23595643,0.95,0.981366023
3.4,3.486275971,5,5.05922401
8.01,8.325239897,6.26,6.369299173
6.47,6.171666265,0.95,0.936113015
0.68,0.798185676,6.6,6.593702435
7.62,6.356174827,0.95,0.945817262
3.37,3.249651432,7.94,7.459157944
0.7,0.635839626,1.1,1.274419844
3.04,2.875956535,0.95,0.928647295
2.28,1.714895695,8.71,8.110861182
6.47,6.482414246,0.95,1.017538667
0.94,0.887447,0.95,0.974286705
0.68,1.053788245,0.86,1.032964647
6.55,5.094676971,0.95,0.916028097
6.28,6.995602846,0.95,0.955996841
1.05,1.224834859,0.95,0.974717319
6.69,7.086969137,0.95,0.997202098
2.62,1.675971061,0.95,0.987949535
0.93,0.773279294,5.1,5.552179217
5.59,6.589963794,0.95,0.949005291
4.33,3.817988336,0.95,0.922579512
2.64,2.930927753,0.95,0.962798014
1.88,1.816814095,2.62,2.646012008
2.16,1.978149086,0.95,0.962551281
6.55,6.358248711,0.95,0.954070419
4.1,3.966600835,7.39,7.534717679
0.64,0.681592688,0.95,1.013447121
3.75,3.75171119,0.95,0.917602092
0.81,0.772514239,0.95,0.935901076
4.54,4.221907675,5.98,6.075926304
0.69,0.379375465,7.89,8.110582709
4.52,4.12882483,0.95,0.953411147
2.16,2.214940548,0.95,0.968271717
7.62,7.87819159,0.95,0.974441305
9.45,8.862493992,0.95,0.953040421
7.04,5.739391804,0.95,0.967377275
7.51,7.057712555,0.95,0.955071032
3.95,3.61724478,0.95,0.950429142
5.59,6.50509274,0.82,0.853572354
8.84,8.986970901,0.95,0.94681105
