"Real NN 3 for B,0; ,None - All data","Averages for B,0; ,None","Real NN 3 for B,1; ,None - All data","Averages for B,1; ,None"
1.63,1.968128145,6.61,6.914058805
0.97,0.938576892,6.28,6.858717322
6.64,5.638707876,5,4.970834374
3.6,2.458559334,3.2,3.063610852
0.95,0.963728189,2.28,2.020730555
0.95,0.947666809,2.48,2.572559476
0.95,0.875976548,3.2,3.272493303
4.7,4.5748294,2.28,1.601575136
1.93,1.90571177,8.84,9.097082615
6.55,6.369773746,0.96,1.181966752
1.1,1.279422015,3.2,3.280270934
4.83,5.793283582,8.01,7.720033646
0.73,1.31447795,5,4.850608349
0.95,1.015715405,2.28,2.308203518
5.73,6.171155334,4.67,4.984451294
0.94,0.750455484,2.28,2.159409344
6.41,5.728088617,2.62,1.795532882
1.3,1.443217188,7.51,7.13834703
5.9,4.967470169,0.98,1.766994506
0.95,0.973679632,0.96,1.035304904
7.62,8.005277872,0.86,1.209912032
2.79,2.475846648,0.96,1.453961551
0.95,0.995753422,4.54,4.468292952
0.95,0.994882956,7.94,7.438612461
3.62,3.487691224,0.86,1.235990644
0.73,1.245458335,8.84,7.914950132
4.88,4.84578681,6.08,5.82787025
0.64,0.625763349,0.9,0.785299033
0.95,0.88476567,0.9,0.921818271
0.83,1.088574722,2.28,2.575377166
3.12,3.382332742,4.54,4.29668206
6.15,6.405252457,3.1,2.661996365
0.95,0.955206633,0.9,0.711993724
0.67,0.619708359,7.51,7.015318632
1.49,1.647517085,0.86,0.977156237
4.51,4.176172256,0.98,1.341945469
1.42,1.637658507,6.08,5.792009711
0.95,0.937587589,6.28,5.808019519
4.02,4.238487422,4.29,4.338341892
1.49,1.663096309,5,5.157578945
4.1,4.146299779,4.67,3.68544358
0.68,1.107303247,3.1,2.978382468
6.48,6.229538918,6.6,6.80614996
7.04,6.872357845,2.48,2.600272775
4.01,4.22270304,2.48,3.885644615
7.1,7.066198349,4.67,4.250334978
0.95,0.983501211,5,5.190083981
4.35,4.417785764,7.51,7.118201971
1.42,1.557854265,3.2,3.281971574
1.49,1.713542759,0.98,0.948453948
0.94,0.867822722,8.01,8.155826449
0.95,0.984585226,2.28,1.675971061
0.86,0.88192226,2.28,1.941432804
2.64,2.589659333,0.9,0.949070975
0.87,0.773852989,2.62,1.486341804
0.95,0.979243547,0.96,1.399847329
0.68,0.944326788,4.67,4.246492982
5.52,5.909152389,6.61,6.613659501
6.06,6.227011085,6.08,5.699918628
5.98,6.115855813,0.9,0.756978095
0.95,0.959899977,7.51,6.193310022
3.64,3.649290621,0.9,0.718374006
1.1,1.140219182,7.94,6.832304478
0.95,0.981311217,6.6,6.629992008
2.12,2.19734484,2.62,1.553949207
0.97,1.193057254,2.48,2.765835822
0.76,2.894168615,7.51,6.84134829
0.95,0.909813419,0.98,1.044051707
4.02,4.346109927,7.51,5.939860225
0.95,0.981366023,3.1,2.896303058
3.04,2.873662591,6.08,5.759611011
5.59,6.058764219,8.84,8.578188181
4.31,4.431027532,6.6,6.643120289
1.39,2.126470149,0.96,1.30131337
0.7,0.969071433,0.86,1.711066723
5.79,6.008082986,4.29,4.724123836
6.26,6.369299173,4.67,4.849152803
0.95,0.936113015,0.9,0.875771612
4.36,5.101415157,4.54,4.243054569
4.33,4.116286397,6.08,5.684213042
2.81,3.05446744,6.6,6.733319521
0.7,0.843247548,7.94,7.419982433
0.77,0.671053886,5,4.96777904
0.95,0.945817262,2.28,2.245690525
0.59,0.832124859,2.48,3.724945784
7.94,7.459157944,6.28,7.008026242
1.1,1.274419844,8.01,9.308359742
0.95,0.928647295,2.48,3.121489167
4.4,4.43892777,5,4.981879234
8.71,8.110861182,6.6,6.612167954
1.38,0.957172364,6.08,4.69527632
0.95,1.017538667,2.48,3.150200009
0.87,0.915300295,7.94,5.259559512
0.95,0.974286705,0.9,0.795714691
4.4,4.498033762,0.98,0.947723806
4.89,5.075561166,0.98,1.004264325
4.5,4.518956065,0.86,0.891244322
4.89,5.062007666,6.08,5.778878093
4.31,4.436163187,8.01,8.088418603
0.84,0.868506223,4.29,4.044996858
5.59,6.322657108,7.51,6.612006545
7.12,7.138174534,2.48,2.736940563
0.93,0.990710258,0.96,1.249020934
0.86,1.032964647,3.1,2.627007008
1.5,1.797256052,7.94,6.570600867
4.39,4.88373208,4.67,4.670035839
0.95,0.916028097,4.67,4.78378123
4.5,4.189879239,8.84,11.05033803
4.39,4.832084775,6.61,8.770274282
0.95,0.955996841,3.2,3.079314411
0.95,0.974717319,0.96,0.788833074
0.83,1.545968115,8.84,8.930922508
0.95,0.997202098,6.61,6.601118684
4.1,4.106054544,4.67,4.03844595
1.05,0.931757167,6.28,6.825021505
0.7,0.620931987,6.08,5.84076941
0.95,0.987949535,2.28,1.619936675
1.38,1.234467626,4.67,4.271143854
5.1,5.552179217,0.96,1.274456143
4.89,4.806663752,8.01,7.583242774
0.95,0.949005291,4.67,4.274419069
0.95,0.922579512,6.08,5.980589509
4.38,4.409609556,8.01,8.281576872
0.95,0.962798014,4.67,4.878246665
6.47,5.939070702,3.1,2.843751669
4.02,3.953057647,3.1,2.591142058
7.12,6.811142325,3.1,2.613204598
2.62,2.646012008,3.1,2.60284394
0.95,0.962551281,2.48,2.704343259
3.64,3.762432098,4.54,4.253358483
0.95,0.954070419,6.61,6.888378024
7.39,7.534717679,6.61,6.591408968
0.95,1.013447121,8.84,8.792227983
0.95,0.917602092,2.62,1.438527167
2.16,2.179265559,6.6,5.910043716
0.95,0.935901076,4.67,3.930486023
4.89,4.483266354,8.84,8.631396294
4.85,4.519291043,8.84,8.919650555
6.69,6.955719471,3.2,3.465319991
4.5,4.402231336,4.67,4.693881154
4.36,3.362885058,6.6,6.776853323
5.98,6.075926304,6.6,6.445165038
7.89,8.110582709,6.6,6.569463372
4.01,4.168322206,2.48,2.54977107
0.95,0.953411147,0.96,1.20591855
0.73,0.774053186,7.51,7.137295246
3.64,3.697567999,5,5.093619466
0.95,0.968271717,8.01,8.048323989
0.69,0.690006062,0.86,0.887389511
0.86,0.90062125,4.29,3.804156601
0.95,0.974441305,8.84,8.518802166
0.95,0.953040421,4.67,4.909091949
0.7,1.008694991,4.67,4.117797196
0.95,0.967377275,0.98,0.935537964
0.78,1.164840743,2.48,2.582439482
7.53,6.029830217,0.86,1.486640275
1.42,1.64411819,2.62,1.473859847
0.95,0.955071032,3.2,3.277298272
1.39,2.322751999,6.28,5.68017292
0.85,0.907433689,4.29,4.372706294
7.4,6.29214561,4.67,4.685933113
0.95,0.950429142,4.29,4.451203465
0.73,1.268634588,2.62,1.527854085
0.82,0.853572354,0.9,0.785031989
7.4,6.32722652,5,5.020459294
0.95,0.94681105,0.86,1.799062461
0.95,0.947681829,0.96,1.301711172
6.26,6.749992967,0.86,1.437772661
0.95,0.945900396,8.84,7.938170791
0.95,0.975664511,3.1,2.920066893
3.75,4.311265051,4.67,4.012863338
0.83,1.163004041,4.67,4.116296768
3.04,2.931312919,6.28,6.793153763
7.1,5.36666441,8.01,7.669154406
0.84,0.822490931,2.28,1.920558184
1.93,2.006483406,8.01,8.120333433
0.95,0.904520988,4.29,4.617380381
4.88,4.768823743,8.84,8.538971186
0.6,0.792517722,0.86,0.878996223
0.8,1.128176242,6.61,6.801309705
0.95,0.931619033,5,5.138162255
4.51,4.19927752,0.9,0.734517992
0.8,1.179711312,2.48,2.924932003
1.38,1.0211647,6.28,6.982050538
0.88,0.921462104,4.29,4.679928064
0.95,0.965711981,3.2,3.233233869
5.06,4.708977103,8.01,8.260415554
0.56,0.742760897,3.1,2.446245641
1.3,1.413945466,2.62,1.446545035
0.69,0.67204079,0.86,1.992242515
8.71,8.294723988,6.28,6.950633883
7.44,7.971485376,8.01,8.168342233
4.32,4.611504674,4.29,4.431712389
0.8,0.967805058,6.61,6.89154911
0.94,0.897764117,6.6,6.214785576
0.82,0.983386442,6.08,5.261958599
7.94,7.444337487,4.67,4.058042765
6.47,6.445360422,7.94,6.005843878
6.64,6.336253524,6.6,5.915916204
0.95,0.852770343,6.6,6.09921515
6.55,6.359967113,4.67,4.10571295
0.95,0.983626455,3.2,3.209493637
0.95,0.995598957,8.01,8.286732912
4.7,4.411358595,3.1,2.573652625
0.95,0.986503333,8.01,8.036246896
2.37,1.94714883,0.86,2.499420524
3.12,3.004703224,2.28,2.369294345
0.67,0.719605356,0.86,1.268419176
0.85,0.842061788,4.67,3.995163798
8.39,8.412783384,6.08,5.808406353
0.95,0.991182774,3.2,3.214660108
7.94,8.851009846,2.62,1.931909323
0.95,1.014401689,3.2,3.254374862
3.04,3.118071377,0.86,1.103377879
7.94,7.438616395,2.48,2.720939517
0.86,1.054844379,4.67,4.096976101
7.39,7.485115051,0.9,0.73094514
0.68,0.954930454,3.2,3.231532872
8.71,8.607314348,7.51,7.166506171
0.95,1.000786528,6.28,6.720674515
7.53,6.855616331,6.6,6.598267317
0.95,1.004899442,8.01,8.039695621
0.95,0.918764949,4.67,4.049954236
0.67,0.66178216,0.96,1.53741464
4.85,4.783895731,4.54,4.204376578
4.33,3.896129429,6.61,6.776803613
4.5,4.419525981,4.54,4.25209409
0.8,0.888588518,0.86,1.131396756
0.69,0.722108513,7.51,6.257701516
0.82,0.956284121,6.6,5.808112144
