SC: R,SC: MAE,SC Test: R,SC Test: MAE,Time SC: 0;: R,Time SC: 1: R,Time SC: 0 : MAE,Time SC: 1 : MAE,Time SC: 0; Test R,Time SC: 1; Test R,Time SC: 0; Test MAE,Time SC: 1; Test MAE,Time,Time:  R,Time:  MAE,Time: Test R,Time: Test MAE,Increasing:  R,Increasing:  MAE,Increasing: Test R,Increasing: Test MAE,Time Increasing: 0 : R,Time Increasing: 1 : R,Time Increasing: 0 : MAE,Time Increasing: 1 : MAE,Time Increasing: 0; Test R,Time Increasing: 1; Test R,Time Increasing: 0; Test MAE,Time Increasing: 1; Test MAE,"Use 1, Time: R","Use 2, Time: R","Use 3, Time: R","Use 1, Time: MAE","Use 2, Time: MAE","Use 3, Time: MAE",A:  R,B:  R,C:  R,A:  MAE,B:  MAE,C:  MAE,,   Days Elapsed 1.0: Spin Coating 0; R,   Days Elapsed 1.0: Spin Coating 1; R,   Days Elapsed 2.0: Spin Coating 0; R,   Days Elapsed 3.0: Spin Coating 0; R,   Days Elapsed 4.0: Spin Coating 0; R,   Days Elapsed 6.0: Spin Coating 0; R,   Days Elapsed 11.0: Spin Coating 0; R,   Days Elapsed 15.0: Spin Coating 0; R,   Days Elapsed 18.0: Spin Coating 0; R,   Days Elapsed 31.0: Spin Coating 0; R,   Days Elapsed 34.0: Spin Coating 0; R, Days Elapsed 1.0: Spin Coating 0; MAE, Days Elapsed 1.0: Spin Coating 1; MAE, Days Elapsed 2.0: Spin Coating 0; MAE, Days Elapsed 3.0: Spin Coating 0; MAE, Days Elapsed 4.0: Spin Coating 0; MAE, Days Elapsed 6.0: Spin Coating 0; MAE, Days Elapsed 11.0: Spin Coating 0; MAE, Days Elapsed 15.0: Spin Coating 0; MAE, Days Elapsed 18.0: Spin Coating 0; MAE, Days Elapsed 31.0: Spin Coating 0; MAE, Days Elapsed 34.0: Spin Coating 0; MAE
,,,,0.985402301,0.985256597,0.280468601,0.264564149,0.985502452,0.992383704,0.239374285,0.222210441,10,0.967237324,0.394802872,0.98822622,0.295588357,,,,,0.989075482,0.984307468,0.245440583,0.283525177,0.991078705,0.9905954,0.27363069,0.22222931,0.984738454,0.978199571,0.998409674,0.283125985,0.262311571,0.125910401,,,,,,,10,0.993044063,0.98469393,0.978199571,0.998409674,0.985703439,0.989235595,0.990164474,0.980175108,0.976710856,0.985859841,0.990251616,0.220049451,0.275735556,0.262311571,0.125910401,0.273994975,0.347242149,0.287188369,0.343273638,0.205278816,0.275679692,0.291142812
,,,,0.981996685,0.978683516,0.292595842,0.364773518,0.985367998,0.990332291,0.328685042,0.401393504,11,0.970097691,0.378292588,0.9760997,0.332312542,,,,,0.980545223,0.980999574,0.305048691,0.324770927,0.994244486,0.98588492,0.371551724,0.348873292,0.980850294,0.984081939,0.989817858,0.314010148,0.490067051,0.261531316,,,,,,,11,0.973968744,0.982239082,0.984081939,0.989817858,0.981206045,0.981643736,0.981136084,0.979688227,0.984172568,0.989135236,0.980738103,0.38164012,0.317561136,0.490067051,0.261531316,0.254589045,0.250418035,0.346142589,0.367666022,0.303029895,0.253927746,0.335393794
,,,,0.981125146,0.96158208,0.32155584,0.435756042,0.956183612,0.984281242,0.528025539,0.489536371,12,0.972044885,0.369865943,0.983976632,0.327956785,,,,,0.986798391,0.970275417,0.316856882,0.380132757,0.993701309,0.955604911,0.342890535,0.590731646,0.97375758,0.992737949,0.930213273,0.371488844,0.246744121,0.363605139,,,,,,,12,0.946856663,0.983959615,0.992737949,0.930213273,0.987465233,0.96897608,0.983946219,0.911015153,0.972979501,0.980419099,0.983535081,0.598171593,0.364604732,0.246744121,0.363605139,0.277125011,0.322645532,0.271659071,0.706994091,0.404018799,0.321636266,0.295426877
,,,,0.970437497,0.975118354,0.356042626,0.336964908,0.960358173,0.989406377,0.334177332,0.288997547,13,0.974334896,0.357543275,0.982067436,0.316338851,,,,,0.978842616,0.970326737,0.311659991,0.360452591,0.988567635,0.968411878,0.342735385,0.315031958,0.971500188,0.947165653,0.995003104,0.353740569,0.374723417,0.231439822,,,,,,,13,0.993340537,0.967996404,0.947165653,0.995003104,0.959562346,0.994764715,0.965807676,0.98200278,0.978674099,0.976460114,0.983293086,0.242516482,0.340617911,0.374723417,0.231439822,0.445904847,0.109997026,0.455337998,0.26836025,0.26379146,0.479937339,0.299773417
,,,,0.970322013,0.979635715,0.367843507,0.34198809,0.976358235,0.958067477,0.371931706,0.444813289,14,0.976618826,0.344291327,0.980134219,0.31493847,,,,,0.97616452,0.973741964,0.365743692,0.35557574,0.974340931,0.965265259,0.407286535,0.395318294,0.971970707,0.991753802,0.990573585,0.362800367,0.343554401,0.284052891,,,,,,,14,0.986749932,0.98874329,0.991753802,0.990573585,0.970367894,0.979856431,0.967624217,0.987512037,0.998771325,0.967666939,0.961703181,0.330800256,0.211050916,0.343554401,0.284052891,0.389223324,0.495694278,0.396969188,0.299614894,0.370429714,0.414324321,0.442390349
,,,,0.974241152,0.97765629,0.354488376,0.396229446,0.977511957,0.949894413,0.323116513,0.522850514,15,0.978848308,0.330399792,0.976582363,0.341118205,v,,,,0.977191716,0.975371584,0.362444982,0.372858263,0.957944363,0.971280321,0.486365839,0.361834826,0.975791857,0.982728198,0.980966076,0.372552711,0.355672122,0.34477073,,,,,,,15,0.991671503,0.99062939,0.982728198,0.980966076,0.966403246,0.952768475,0.977312282,0.975760594,0.987529144,0.969731748,0.981342569,0.264746723,0.262447423,0.355672122,0.34477073,0.444641386,0.523142159,0.479282149,0.422021469,0.311822092,0.349225201,0.340477604
,,,,0.974886939,0.974110842,0.361283032,0.332984073,0.972777948,0.98348093,0.411695187,0.231233466,16,0.980676219,0.31623985,0.992739424,0.178270015,,,,,0.973865405,0.974729791,0.381409917,0.340807962,0.979806259,0.976730362,0.382182243,0.323099143,0.973326683,0.994766295,0.983399794,0.364418023,0.111205391,0.333434389,,,,,,,16,0.974564716,0.974579409,0.994766295,0.983399794,0.982587665,0.985051036,0.974183068,0.961734667,0.992849603,0.979779691,0.960127324,0.397417414,0.413317184,0.111205391,0.333434389,0.332325594,0.30593266,0.335215272,0.405809419,0.183272165,0.305419558,0.42503903
,,,,0.965573981,0.983626321,0.372613879,0.350834895,0.991340697,0.970792711,0.303452221,0.34601949,17,0.982065067,0.303333665,0.946640834,0.465046701,,,,,0.98550339,0.969474331,0.328378137,0.37562705,0.998275772,0.978042662,0.265121886,0.334621089,0.971917421,0.983664557,0.997716293,0.378239076,0.334647275,0.137434785,,,,,,,17,0.987950996,0.945386499,0.983664557,0.997716293,0.975156784,0.967106864,0.979517981,0.980583981,0.970381424,0.982455805,0.973228216,0.378154919,0.438287652,0.334647275,0.137434785,0.394094378,0.401300572,0.426691821,0.345702573,0.145995008,0.285816697,0.389312926
,,,,0.96371375,0.974040836,0.350769035,0.359159218,0.989405885,0.938746154,0.251631746,0.578404524,18,0.982851863,0.295862476,0.933158353,0.440576627,,,,,0.984743178,0.962466732,0.276389297,0.378340621,0.991703689,0.94976975,0.208507376,0.452733808,0.966245681,0.994030625,0.972403824,0.362493266,0.142393276,0.408154833,,,,,,,18,0.982856706,0.922422811,0.994030625,0.972403824,0.986268848,0.978404522,0.969149336,0.971862838,0.994190663,0.989118755,0.970079765,0.285834556,0.466146878,0.142393276,0.408154833,0.281982068,0.359538689,0.418840698,0.419001392,0.161946472,0.256859406,0.392808828
,,,,0.969089225,0.981064141,0.295966952,0.295291104,0.92792739,0.985507786,0.483636332,0.29570812,19,0.983333662,0.290081679,0.978817761,0.309271918,,,,,0.961953893,0.976575136,0.285170963,0.299022052,0.876643091,0.983346626,0.464231345,0.361742022,0.972328469,0.994528964,0.990830138,0.302539132,0.178156773,0.287300217,,,,,,,19,0.985975668,0.952360913,0.994528964,0.990830138,0.99372375,0.996611238,0.977439001,0.982753679,0.990827918,0.952828333,0.973762527,0.314838316,0.294377267,0.178156773,0.287300217,0.189219869,0.107426537,0.323571313,0.308593149,0.353529136,0.438735012,0.324855182
