"Real NN 3 for Spin Coating,0; Days Elapsed,0 - All data","Averages for Spin Coating,0; Days Elapsed,0","Real NN 3 for Spin Coating,0; Days Elapsed,1 - All data","Averages for Spin Coating,0; Days Elapsed,1","Real NN 3 for Spin Coating,1; Days Elapsed,0 - All data","Averages for Spin Coating,1; Days Elapsed,0","Real NN 3 for Spin Coating,2; Days Elapsed,0 - All data","Averages for Spin Coating,2; Days Elapsed,0","Real NN 3 for Spin Coating,3; Days Elapsed,0 - All data","Averages for Spin Coating,3; Days Elapsed,0","Real NN 3 for Spin Coating,4; Days Elapsed,0 - All data","Averages for Spin Coating,4; Days Elapsed,0","Real NN 3 for Spin Coating,5; Days Elapsed,0 - All data","Averages for Spin Coating,5; Days Elapsed,0","Real NN 3 for Spin Coating,6; Days Elapsed,0 - All data","Averages for Spin Coating,6; Days Elapsed,0","Real NN 3 for Spin Coating,7; Days Elapsed,0 - All data","Averages for Spin Coating,7; Days Elapsed,0","Real NN 3 for Spin Coating,8; Days Elapsed,0 - All data","Averages for Spin Coating,8; Days Elapsed,0","Real NN 3 for Spin Coating,9; Days Elapsed,0 - All data","Averages for Spin Coating,9; Days Elapsed,0"
4.33,4.048236668109894,0.95,0.9795975387096405,,,,,4.32,4.459462881088257,,,0.84,0.8779286742210388,7.1,7.145405650138855,,,0.76,0.8421177119016647,0.83,1.4415010809898376
5.1,6.032739877700806,0.95,0.9574176073074341,,,,,0.95,0.9923059046268463,,,0.95,0.9336749017238617,0.7,0.5884047672152519,,,0.95,0.9724726676940918,0.95,0.9867338240146637
,,3.37,3.1783751249313354,,,,,2.28,2.8592872619628906,,,8.84,8.885549306869507,0.95,0.972202256321907,,,5.59,6.6933876276016235,0.96,1.3755302727222443
,,0.9,0.7717059999704361,,,,,6.06,6.668453335762024,,,4.29,4.718302965164185,0.56,0.8488786369562149,,,0.6,0.7854759693145752,6.47,6.268276214599609
,,0.67,0.6546238511800766,,,,,2.48,4.043087899684906,,,0.95,0.990813821554184,0.9,0.7376572042703629,,,4.88,4.860849738121033,0.95,0.9801878333091736
,,5.27,5.39033055305481,,,,,0.85,0.8433047533035278,,,0.95,0.9473681896924973,0.95,0.9755373001098633,,,4.35,4.3039021492004395,0.83,1.5089142322540283
,,0.95,0.9519456624984741,,,,,0.95,0.9944531321525574,,,5.27,5.576807379722595,,,,,2.62,2.8153741359710693,0.95,0.9645689725875854
,,0.95,0.9760542511940002,,,,,0.95,0.9766488522291183,,,7.12,7.22470223903656,,,,,4.85,4.485795617103577,1.04,1.3872674405574799
,,1.05,0.9872530400753021,,,,,4.54,4.394301176071167,,,3.6,3.4472368955612183,,,,,7.4,6.327089309692383,2.37,1.9894222915172577
,,1.04,1.1282589733600616,,,,,6.08,5.828389883041382,,,1.42,1.609754741191864,,,,,4.31,4.652830600738525,0.6,0.6134255528450012
,,0.87,0.9029652327299118,,,,,2.37,1.9819071888923645,,,0.95,0.9308831691741943,,,,,,,0.95,0.9953972548246384
,,0.78,1.2958411872386932,,,,,0.95,0.9401377588510513,,,0.83,1.185251384973526,,,,,,,6.15,5.864271283149719
,,0.95,0.9651011079549789,,,,,3.6,3.4329577684402466,,,6.61,6.737455606460571,,,,,,,0.95,1.0052984207868576
,,4.43,4.151188910007477,,,,,,,,,5.9,5.631767749786377,,,,,,,7.12,7.232199788093567
,,3.2,3.0367525219917297,,,,,,,,,,,,,,,,,0.75,0.6291426420211792
,,3.67,3.578121066093445,,,,,,,,,,,,,,,,,0.56,0.7269067764282227
,,0.7,0.44107547402381897,,,,,,,,,,,,,,,,,7.44,7.899985909461975
,,0.95,0.9770443439483643,,,,,,,,,,,,,,,,,0.78,1.1491461545228958
,,0.95,0.9987770766019821,,,,,,,,,,,,,,,,,,
